short_name,long_name,extra_content,correct_answer,annotator_selected_name,city,alt_address,base_address,real_canonical_name,closer_to_real,annotator_correct,verification_sources,verification_notes
Colby Dodge Chrysler Jeep,Colby Dodge Chrysler Jeep Ram,ram,business_type,Colby Dodge Chrysler Jeep Ram,Colby,1000 Taylor Ave,1000 Taylor Ave,Colby Dodge Chrysler Jeep Ram,longer,yes,Google Maps,"Notable example, good example"
Survive Alive House,Survive Alive House MFD,mfd,noise,Survive Alive House,Milwaukee,2059 S 20th St,2028 W Vilter Ln,Survive Alive House,shorter,yes,,
Kaiser Permanente,Kaiser Permanente DME,dme,noise,Kaiser Permanente,Walnut Creek,2880 Shadelands Dr,2800 Shadelands Dr,Kaiser Permanente,shorter,yes,,
Wing Sing,Wing Sing Bar,bar,business_type,Wing Sing Bar,Philomath,658 Main St,,Wing Sing Bar,longer,yes,,Check w/ Sri
Tractor Supply,Tractor Supply Co.,co,noise,Tractor Supply,Covington,1884 N Collins Blvd,1884 N Collins Blvd,Tractor Supply Co.,longer,no,Google Maps,"Check w/ Sri, hard-coded?"
Dothan Nails,Dothan Nails Spa,spa,business_type,Dothan Nails Spa,Dothan,3341 S Oates St,3341 S Oates St Ste 104,Dothan Nails Spa,longer,yes,Google Maps,
Oh My Goodness,Oh My Goodness OMG,omg,disambiguation,Oh My Goodness,Cabanatuan City,Del Pilar,,Oh My Goodness,shorter,yes,Google Maps,
Chinese Foot Massage & Body Relax,Chinese Foot Massage & Body Relax Spa,spa,business_type,Chinese Foot Massage & Body Relax Spa,Galesburg,750 N Henderson St,750 N Henderson St,Chinese Foot Massage & Body Relax Spa,longer,yes,,Check w/ Sri
Mail Boxes ETC.,Mail Boxes Etc. UK,uk,location,Mail Boxes ETC.,London,4 Spring Bridge Road,"4 Spring Bridge Road, Ealing",,,,,
La Taquiza de Mario,La Taquiza de Mario #2,2,disambiguation,La Taquiza de Mario,Mexicali,Calzada Aviación 1258,Calz Cuauhtemoc,,,,,Check w/ Sri
Le Salonce,Le salonce #2,2,disambiguation,Le Salonce,Corpus Christi,2701 Ayers St,,,,,,Check w/ Sri
Farmacia Città Satellite,Farmacia Città Satellite 2,2,disambiguation,Farmacia Città Satellite,Catania,"Strada San Teodoro, 113",Stradale San Giorgio 113,,,,,
Praxis für Schmerzmedizin,"Praxis für Schmerzmedizin Dr. Carola Vogel, Privatpraxis (Selbstzahler/Privatversicherte)",dr carola vogel privatpraxis selbstzahlerprivatversicherte,disambiguation,Praxis für Schmerzmedizin,Reinhardshagen,Mündener Str. 70,Mündener Str. 76,,,,,
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,location,Schlotzsky's,Madison,205 Colony Way,205 Colony Way,Schlotzsky's,shorter,yes,,Check w/ Sri
Centre RNPC Avranches,Centre RNPC AVRANCHES (Quentin sur le homme),quentin sur le homme,location,Centre RNPC Avranches,Saint-Quentin-sur-le-Homme,2 Z.A. de Cromel,2 ZA de Cromel,Centre RNPC Avranches,shorter,yes,,Check w/ Sri
ComForCare Home Care,"ComForCare Home Care (Rancho Cucamonga, CA)",rancho cucamonga ca,location,ComForCare Home Care,Upland,600 N Mountain Ave,600 N Mountain Ave Ste B200,ComForCare Home Care,shorter,yes,,Check w/ Sri
PetSmart,PetSmart Folsom (East Bidwell),folsom east bidwell,location,PetSmart,Folsom,2705 E Bidwell St,2705 E Bidwell St,PetSmart,shorter,yes,,Check w/ Sri
PruittHealth,PruittHealth Hospice (Gainesville),hospice gainesville,business_type,PruittHealth Hospice (Gainesville),Gainesville,2545 Flintridge Rd,2545 Flintridge Rd Ste 110,,,,,H3
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"481 Cambridge Heath Road, Bethnel Green",481 Cambridge Heath Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,Stourbridge,"157 Bridgnorth Road, Wollaston",157 Bridgnorth Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"345 Hertford Road, Lower Edmonton",345 Hertford Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"481 Cambridge Heath Road, Bethnel Green",481 Cambridge Heath Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,Stourbridge,"157 Bridgnorth Road, Wollaston",157 Bridgnorth Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"345 Hertford Road, Lower Edmonton",345 Hertford Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"481 Cambridge Heath Road, Bethnel Green",481 Cambridge Heath Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,Stourbridge,"157 Bridgnorth Road, Wollaston",157 Bridgnorth Rd,,,,,
Atm,ATM (Post Office),post office,disambiguation,Atm,London,"345 Hertford Road, Lower Edmonton",345 Hertford Rd,,,,,
Liceo Scientifico Isacco Newton,Liceo Scientifico Isacco Newton (succursale),succursale,disambiguation,Liceo Scientifico Isacco Newton,Roma,"Via dell'Olmata, 4",Via Dell'Olmata,Liceo Scientifico Isacco Newton (succursale),longer,no,"Brand website, Google Maps",
Sídliště Libuš,Sídliště Libuš (bus),bus,disambiguation,Sídliště Libuš,,Generála Šišky,Generála Šišky,Sídliště Libuš,shorter,yes,Google Maps,Shouldn't be English
Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,disambiguation,Vitality Integrated Programs,Elko,215 Bluffs Ave,215 Bluffs Ave Ste s 100,Vitality Integrated Programs,shorter,yes,Brand website,Check with Sri
Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),bba,disambiguation,Brooklyn Basketball Academy,New York,1724 Avenue P,162 E 25th St,Brooklyn Basketball Academy,shorter,yes,"Brand website, Google Maps",
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,disambiguation,Marine Corps Exchange,Port Royal,200 Malecon Dr,178 Malecon Dr,Marine Corps Exchange,shorter,yes,,
Centro de Estaca,Centro de Estaca (SUD),sud,disambiguation,Centro de Estaca,,Jose Mancisidor,Jose Mancisidor,Centro de Estaca,shorter,yes,,
Makmal Kesihatan Awam,Makmal Kesihatan Awam (MKA),mka,disambiguation,Makmal Kesihatan Awam,,Jalan Persiaran Tanjung Tampoi,Jalan Persiaran Tanjung,Makmal Kesihatan Awam,shorter,yes,,
Centro Médico Integrado,Centro Médico Integrado (CMI),cmi,disambiguation,Centro Médico Integrado,Ituiutaba,"Rua Vinte e Quatro, 505",Rua 20 com 5 e 7,Centro Médico Integrado,shorter,yes,,
Liceo De Hombres,Liceo De Hombres (LAM),lam,disambiguation,Liceo De Hombres,,Alameda,Alameda,Liceo De Hombres,shorter,yes,,
CIBC,CIBC Branch (Cash at ATM only),branch cash at atm only,disambiguation,CIBC,Waterloo,315 Lincoln Road,315 Lincoln Rd.,,,,,H3
